,WEEK_PRI,YEAR_PRI,1,2,3,4,NONE,TOTAL,OCURENCE_1,OCURENCE_2,OCURENCE_3,OCURENCE_4
66,4,2022,0.0,0.0,0.0,0.0,5.0,5.0,0,0,0,0
67,4,2023,24.0,10.0,0.0,0.0,99.0,133.0,1,1,0,0
914,5,2000,0.0,0.0,0.0,0.0,28.0,28.0,0,0,0,0
915,5,2001,0.0,0.0,0.0,0.0,315.0,315.0,0,0,0,0
916,5,2002,0.0,0.0,0.0,0.0,7269.0,7269.0,0,0,0,0
917,5,2003,0.0,0.0,0.0,0.0,30.0,30.0,0,0,0,0
918,5,2004,0.0,0.0,0.0,0.0,10.0,10.0,0,0,0,0
919,5,2005,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0
920,5,2006,0.0,0.0,0.0,0.0,123.0,123.0,0,0,0,0
68,5,2007,0.0,0.0,0.0,0.0,138.0,138.0,0,0,0,0
69,5,2008,0.0,1.0,0.0,0.0,663.0,664.0,0,1,0,0
70,5,2009,0.0,0.0,0.0,0.0,69.0,69.0,0,0,0,0
71,5,2010,0.0,0.0,0.0,0.0,25.0,25.0,0,0,0,0
72,5,2011,4.0,0.0,0.0,0.0,793.0,797.0,1,0,0,0
73,5,2012,2.0,0.0,0.0,11.0,303.0,316.0,1,0,0,1
74,5,2013,0.0,0.0,0.0,0.0,333.0,333.0,0,0,0,0
75,5,2014,0.0,0.0,0.0,0.0,23.0,23.0,0,0,0,0
76,5,2015,1.0,0.0,0.0,0.0,20.0,21.0,1,0,0,0
77,5,2016,0.0,0.0,0.0,0.0,59.0,59.0,0,0,0,0
78,5,2017,0.0,0.0,0.0,0.0,165.0,165.0,0,0,0,0
79,5,2018,0.0,0.0,0.0,0.0,81.0,81.0,0,0,0,0
80,5,2019,0.0,0.0,0.0,0.0,122.0,122.0,0,0,0,0
81,5,2020,0.0,1.0,0.0,0.0,52.0,53.0,0,1,0,0
82,5,2021,0.0,1.0,0.0,0.0,16.0,17.0,0,1,0,0
83,5,2022,1.0,4.0,0.0,0.0,16.0,21.0,1,1,0,0
84,5,2023,45.0,5.0,0.0,0.0,130.0,180.0,1,1,0,0
921,6,2000,0.0,0.0,0.0,0.0,31.0,31.0,0,0,0,0
922,6,2001,0.0,0.0,0.0,0.0,373.0,373.0,0,0,0,0
923,6,2002,0.0,0.0,0.0,0.0,7259.0,7259.0,0,0,0,0
924,6,2003,0.0,0.0,0.0,0.0,42.0,42.0,0,0,0,0
925,6,2004,0.0,0.0,0.0,0.0,5.0,5.0,0,0,0,0
926,6,2005,0.0,0.0,0.0,0.0,5.0,5.0,0,0,0,0
927,6,2006,0.0,0.0,0.0,0.0,116.0,116.0,0,0,0,0
85,6,2007,0.0,0.0,0.0,0.0,155.0,155.0,0,0,0,0
86,6,2008,0.0,4.0,2.0,0.0,824.0,830.0,0,1,1,0
87,6,2009,0.0,0.0,0.0,0.0,65.0,65.0,0,0,0,0
88,6,2010,0.0,0.0,0.0,0.0,20.0,20.0,0,0,0,0
89,6,2011,1.0,0.0,0.0,0.0,1207.0,1208.0,1,0,0,0
90,6,2012,7.0,0.0,0.0,23.0,331.0,361.0,1,0,0,1
91,6,2013,0.0,0.0,0.0,2.0,294.0,296.0,0,0,0,1
